"","text"
"1","  getting  covid vaccine  monday"
"2"," believe  child care  called     beginning  covid  deemed essential   province eces   receiving  vaccine earlier    public ece ontariolockdown"
"3","  recommend    job pharmacist covid vaccine support healthcare berwick pa"
"4","    cvs health  hiring  lyndhurst oh click  details healthcare cvsjob"
"5"," days  holding  breath waiting   day  finally received   dose   covid vaccine   absolute relief please please please   vaccine    time   huge chunk    vaccinated  cant     normalcy"
"6","  regular stock picking   checking  bmra ibs blood test infoods  looks  trial results  junejuly  covid exposure  post vaccine antibody testing"
"7"," competition  stiff   favourite crazy covid vaccine theory remains  persistent allegation bill gates  inserting microchips   vaccines  track  movements  recipients ready "
"8"," scared  whats   covid vaccine bc sidewalk bowl"
"9","story"
"10","science  repeatedly shown  kids  neither susceptible  covid nor effective transmitters    focusing  vaccine logistics         bullshit"
"11","meanwhile  cleveland    shortage   covid vaccine    people     appear   able   vaccinated    hell     ohio"
"12","jamp  pops  quarterly beat  soon release covid vaccine test results via"
"13","     covid vaccine shot   cnet"
"14","  chocolate chip cookies tonight      dad tomorrow  havent seen      past months  am taking     covid vaccine tomorrow hes"
"15"," promote vaccines  orleans dances   heart   sleeve"
"16","vice president kamala harris receives  covid vaccine dose urges people  america   vaccinated kamalaharris"
"17","wolf frustrated  covid vaccine supply  pennsylvania"
"18"," boosting vaccine deliveries amid complaints  shortages"
"19"," suspected covid category   pfizer mrna vaccine trial  simply  catchall symptom screening label  justify testing  detect covid    category  untestedyetprobable    words  official efficacy figure  accurate"
"20","public health alabama department   alabama department  public health adph  holding covid vaccination clinics  montgomery county  people  qualify  vaccine  individuals currently  healthcare"
"21","venice   department  health  sarasota county received  covid vaccine  week  start scheduling  shots   administer   doses"
"22","covid    home       burn  ps games waiting   ps odds  ill   vaccine    time lol game  friends game "
"23","  hoping        minorities  suffering  dying   rates  covid sometimes     rates  underlying conditions   diabetes sometimes  access  healthcare    help   vaccine quicker"
"24","spiteful vaccine supranationalism cant distract   covid scandal   sink  eu via"
"25","merck scraps covid vaccine candidates  wall street journal"
"26","according  cdc   eradicated influenza   united     halfway thruhave   confirmed influenza     usual  million  mpnths  cdc   falsifying info    victory flu vaccine pandemic covid"
"27","city kicks  senior vaccination program bringing vaccine  homes senior centers  responders  giving vaccines  seniors   citys meals  wheels program  tuesday"
"28"," apparently covid vaccine tourism    "
"29","queenslands covid plan   revealed  jeannette   brisbane gold amp sunshine coasts cairns  townsville    establish vaccine hubs  doses  available     febearly march"
"30"," employers  prepare   biden administrations plan  jumpstart  covid vaccination process"
"31","figure       day  revisit  discussion   compulsory licensing  vaccine patents"
"32"," brother  cancer       covid vaccine    fuck"
"33"," smartnews  read antivaxxer leaves radio host stunned  admitting   wouldnt    sick dog   vet   read    web tap "
"34","mn seniors   hours  week  preregister  covid vaccine lottery via"
"35","seroius doubts expressed  german govt amp regulators  covishields efficacy  highranking official   health ministry told handelsblatton  basis   data  available      efficacy   overs lies below"
"36","farmworkers  fresno county   starting    doses   covid vaccine  health officials      vaccinated"
"37"," people  surrounded everyday    people  thats  job    vaccine    dont  covid  spread    especially vulnerable citizens  yourself  arent taking    "
"38","          covid vaccination thisisourshot"
"39"," combination    history  medical malpractice  structural racism   federal government  communities  color  contributed  skepticism   vaccine  cited   antiimmigrant rhetoric   prior administration"
"40","johnson amp  johnson  tuesday   expected  report eagerly awaited data   covid vaccine   week      able  meet  delivery target  doses  countries     signed supply agreements thisisourshot"
"41","florida  receive  increase   covid vaccine allotment gov desantis "
"42","supervisors discuss  covid vaccine disparities  contra costa county"
"43","global coronavirus  surpassed million  wednesday  countries   world struggle   virus variants  vaccine shortfalls"
"44","americans    covid vaccine  include noncitizens"
"45","  wondering   traditional covid vaccine gift  "
"46","biden announced  tuesday   administration  nearing  deal  pfizer  moderna  secure  additional million doses  coronavirus vaccine      summer        dump trucks  cash months ago"
"47","true kansas   worst  country  vaccine distribution"
"48","  covid vaccine rollout continues experts    coronavirus response   time  tuesday night  address  community   questions"
"49"," centers  disease control  prevention  tracking covid rollout   country"
"50","according    health services website  people  nueces county  received     dose   covid vaccine"
"51","   laying  groundwork  respond quickly   variant  sarscov  evidence  escaping immunity   vaccine pfizer  coronavirus covidvaccines coronavirusvaccine"
"52","covid uk  look  carefully  vaccine dosing  concerns raised  level  protection  study suggested  effectiveness   vaccine   single dose   low       initially  "
"53","   expect threaten  eu  idiots      delivering   signed     stoop  johnsons level     stop playing  peoples lives"
"54"," hollow words  faux sorrow    cared   shut borders listen   science  break  vaccine protocol     thief   stealing saying sorry   steal    stealing lives"
"55"," covid tongue   sign  infection    coronavirus patients develop bumps  swelling   mouth   red burning feet  hands study "
"56","    vaccine doesnt    virus   amp people  getting hurtsick  dying      scariest    people dont    vaccine doesnt   covid virus inside"
"57"," covid vaccine appointments  publix registration  am wednesday sfr publix vaccineshots"
